investor_id,entity_name_original,entity_name_standard,entity_type_standardized,entity_name_status,transaction_party_count,investee_company_count,investor_review_status
ENT-016,中科贵银,中科贵银（贵州）产业投资基金（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-018,南山富海,深圳南山东方富海中小微创业投资基金合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-019,珠海拓域,珠海拓域壹号股权投资基金（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-024,富海节能,深圳东方富海节能环保创业投资基金合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-025,临港投资,上海临港松江股权投资基金合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
ENT-026,鸿迪投资,上海鸿迪投资集团有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
ENT-027,火炬电子,福建火炬电子科技股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-028,厦门西堤,厦门西堤拾贰投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-029,中小企业基金,中小企业发展基金（深圳南山有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-031,福建开京,福建开京集团有限责任公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
ENT-036,湘裕君源,萍乡市湘裕君源企业管理中心（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R001,丰利财富新三板成长基金,丰利财富新三板成长基金,FUND,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R002,东方富海（芜湖）股权投资基金管理企业（有限合伙）,东方富海（芜湖）股权投资基金管理企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R003,厦门蜜呆资产管理合伙企业（有限合伙）,厦门蜜呆资产管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R004,东方富海（上海）投资管理合伙企业（有限合伙）,东方富海（上海）投资管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R005,芜湖兴安创业投资基金管理有限公司,芜湖兴安创业投资基金管理有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R006,深圳市东方富海创业投资管理有限公司,深圳市东方富海创业投资管理有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R007,中国科技产业投资管理有限公司,中国科技产业投资管理有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
ENT-R008,深圳市富海中小企业发展基金股权投资管理有限公司,深圳市富海中小企业发展基金股权投资管理有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,1,AUTO_GENERATED_PENDING_REVIEW
STD-301606-ISSUER,深圳市绿联科技股份有限公司,深圳市绿联科技股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-301606-GAOLING,珠海高瓴锡恒股权投资合伙企业（有限合伙）,珠海高瓴锡恒股权投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
STD-301606-SHENZHENSHIHENG,深圳世横投资有限公司,深圳世横投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-301606-YUANDA,广东远大方略管理咨询有限公司,广东远大方略管理咨询有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-301606-JIANGUO,厦门坚果核力创业投资合伙企业（有限合伙）,厦门坚果核力创业投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-ISSUER,拉普拉斯新能源科技股份有限公司,拉普拉斯新能源科技股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,0,0,AUTO_GENERATED_PENDING_REVIEW
STD-688726-001,三亚恒嘉,三亚恒嘉股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-002,上海淳和,上海淳和投资中心（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-003,上饶弘信,上饶市弘信股权投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-004,上饶长鑫,上饶市长鑫壹号企业管理中心（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-008,兴睿兴元,嘉兴兴睿兴元股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-010,同舟合伙,西峡县同舟企业管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,6,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-011,嘉兴朝佑,嘉兴朝佑股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-012,嘉兴朝希,嘉兴朝希洪泰股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-013,嘉兴朝骞,嘉兴朝骞股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-014,嘉兴腾寅,嘉兴腾寅股权投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-015,国寿科创,国寿（深圳）科技创新私募股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-016,国盈君和,海口市国盈君和企业管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-017,如东嘉达,如东嘉达股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-018,如东恒君,如东恒君股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-019,如东睿达,如东睿达股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-022,宁波易津,宁波易津紫台投资管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,3,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-023,安托信,深圳安托信投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,0,AUTO_GENERATED_PENDING_REVIEW
STD-688726-024,安是新能源,安是新能源材料（上海）有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,0,AUTO_GENERATED_PENDING_REVIEW
STD-688726-030,德兴川弘,德兴市川弘投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-032,捷毅创投,宁波捷毅创业投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-033,斐君隆成,常州斐君隆成股权投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-034,无锡芯动力,无锡芯动力股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-035,易方新达,易方新达创业投资（广东）合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-036,易方新达二号,易方新达二号创业投资（广东）合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-037,昱源五期,青岛昱源五期创业投资中心（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-040,朱雀壬寅,上海朱雀壬寅私募投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-042,杭州鋆沐,杭州鋆沐股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-044,林洋创投,林洋创业投资（上海）有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-045,正逸宁投资,共青城正逸宁投资管理合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-046,海南与君,海南与君投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-047,海南同致,海南同致投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-048,海南瑞麟,海南瑞麟壹号投资合伙企业（有限合伙）,PARTNERSHIP,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-049,盛欣投资,淄博盛欣股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-050,秋石一号,厦门秋石一号投资管理合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-051,秋石二号,厦门秋石二号投资管理合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-052,秋石二期,嘉兴秋石二期创业投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-053,科创二号,广州科创智汇二号创业投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-054,科创产投,广州科创产业投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-056,聚源芯创,深圳聚源芯创私募股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-060,行远志恒,共青城行远志恒股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-061,赛格合创,张家港深投控赛格合创股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-065,连城数控,大连连城数控机器股份有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-070,青岛盛京,青岛盛京协同联合投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-073,领汇基石,深圳市领汇基石股权投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-074,高新投创投,深圳市高新投创业投资有限公司,COMPANY,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-075,黄埔数字,广州黄埔数字经济产业投资基金合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,2,1,AUTO_GENERATED_PENDING_REVIEW
STD-688726-076,黄埔永平,广州黄埔永平科创股权投资合伙企业（有限合伙）,FUND,RECOVERED_ACCEPTED_NAME,1,1,AUTO_GENERATED_PENDING_REVIEW
